Archivo;S11_MAG;S11_ANG;S21_MAG;S21_ANG;S12_MAG;S12_ANG;S22_MAG;S22_ANG
BFP760_w_noise_VCE_2.5V_IC_6.0mA.s2p;0.6958;-133.7;8.91;93.8;0.0833;20.3;0.4961;-92.3
BFP760_w_noise_VCE_2.5V_IC_8.0mA.s2p;0.6756;-143.7;9.799;90.1;0.0727;20.2;0.4408;-101.7
BFP760_w_noise_VCE_3.0V_IC_1.0mA.s2p;0.8694;-82.0;3.122;114.5;0.1388;32.2;0.8295;-51.6
BFP760_w_noise_VCE_3.0V_IC_10mA.s2p;0.6638;-150.3;10.478;87.8;0.0646;21.1;0.4031;-107.2
BFP760_w_noise_VCE_3.0V_IC_15mA.s2p;0.6506;-161.7;11.346;83.8;0.0536;23.8;0.3503;-120.4
BFP760_w_noise_VCE_3.0V_IC_2.0mA.s2p;0.808;-97.6;5.116;108.3;0.1216;27.1;0.7252;-62.8
BFP760_w_noise_VCE_3.0V_IC_20mA.s2p;0.6462;-168.4;11.794;81.6;0.0477;27.0;0.3239;-128.9
BFP760_w_noise_VCE_3.0V_IC_25mA.s2p;0.6452;-172.8;12.052;80.1;0.0438;29.6;0.3084;-134.8
BFP760_w_noise_VCE_3.0V_IC_30mA.s2p;0.6455;-175.9;12.203;79.1;0.0414;31.9;0.2981;-138.9
BFP760_w_noise_VCE_3.0V_IC_35mA.s2p;0.6464;-178.3;12.278;78.3;0.0394;34.0;0.2905;-141.9
BFP760_w_noise_VCE_3.0V_IC_4.0mA.s2p;0.7337;-119.4;7.606;99.4;0.0972;22.2;0.5816;-79.2
BFP760_w_noise_VCE_3.0V_IC_40mA.s2p;0.648;179.8;12.312;77.7;0.0383;35.7;0.2841;-144.1
BFP760_w_noise_VCE_3.0V_IC_6.0mA.s2p;0.6968;-133.1;8.973;94.1;0.0824;20.6;0.4975;-90.6
BFP760_w_noise_VCE_3.0V_IC_8.0mA.s2p;0.6761;-143.1;9.874;90.4;0.0719;20.5;0.441;-99.8
BFP760_w_noise_VCE_3.5V_IC_1.0mA.s2p;0.871;-81.8;3.129;114.8;0.1371;32.5;0.8313;-51.0
BFP760_w_noise_VCE_3.5V_IC_10mA.s2p;0.6635;-149.9;10.534;88.0;0.0641;21.4;0.402;-105.6
BFP760_w_noise_VCE_3.5V_IC_15mA.s2p;0.6493;-161.3;11.417;84.1;0.0533;24.1;0.3477;-118.6
BFP760_w_noise_VCE_3.5V_IC_2.0mA.s2p;0.8098;-97.2;5.131;108.6;0.1202;27.4;0.7275;-62.0
BFP760_w_noise_VCE_3.5V_IC_20mA.s2p;0.6445;-168.0;11.872;81.8;0.0473;27.1;0.3205;-127.1
BFP760_w_noise_VCE_3.5V_IC_25mA.s2p;0.643;-172.4;12.133;80.4;0.0436;29.6;0.3045;-133.0
BFP760_w_noise_VCE_3.5V_IC_30mA.s2p;0.6433;-175.6;12.292;79.3;0.0411;32.0;0.294;-137.1
BFP760_w_noise_VCE_3.5V_IC_35mA.s2p;0.6437;-177.9;12.381;78.6;0.0395;34.3;0.286;-140.1
BFP760_w_noise_VCE_3.5V_IC_4.0mA.s2p;0.735;-119.0;7.644;99.6;0.0963;22.4;0.5831;-78.1
BFP760_w_noise_VCE_3.5V_IC_40mA.s2p;0.6452;-179.8;12.42;78.0;0.0381;36.0;0.2796;-142.3
BFP760_w_noise_VCE_3.5V_IC_6.0mA.s2p;0.6978;-132.7;9.018;94.3;0.0816;20.8;0.4983;-89.3
BFP760_w_noise_VCE_3.5V_IC_8.0mA.s2p;0.6761;-142.6;9.924;90.6;0.0714;20.6;0.4409;-98.3
BFP760_w_noise_VCE_4.0V_IC_1.0mA.s2p;0.8733;-81.6;3.139;115.0;0.1359;32.7;0.8325;-50.5
BFP760_w_noise_VCE_4.0V_IC_10mA.s2p;0.6632;-149.5;10.577;88.3;0.0637;21.3;0.3999;-104.3
BFP760_w_noise_VCE_4.0V_IC_15mA.s2p;0.6477;-160.9;11.462;84.4;0.0529;24.1;0.3441;-117.2
BFP760_w_noise_VCE_4.0V_IC_2.0mA.s2p;0.8124;-97.0;5.15;108.7;0.1191;27.5;0.7286;-61.4
BFP760_w_noise_VCE_4.0V_IC_20mA.s2p;0.6425;-167.7;11.923;82.1;0.047;27.1;0.3163;-125.6
BFP760_w_noise_VCE_4.0V_IC_25mA.s2p;0.6407;-172.1;12.193;80.6;0.0434;29.9;0.2999;-131.5
BFP760_w_noise_VCE_4.0V_IC_30mA.s2p;0.6407;-175.3;12.357;79.6;0.0411;32.1;0.2892;-135.6
BFP760_w_noise_VCE_4.0V_IC_35mA.s2p;0.6414;-177.6;12.452;78.9;0.0393;34.3;0.2812;-138.5
BFP760_w_noise_VCE_4.0V_IC_4.0mA.s2p;0.7368;-118.7;7.673;99.8;0.0955;22.5;0.5832;-77.3
BFP760_w_noise_VCE_4.0V_IC_40mA.s2p;0.6425;-179.5;12.496;78.3;0.0379;35.9;0.2747;-140.8
BFP760_w_noise_VCE_4.0V_IC_6.0mA.s2p;0.6987;-132.3;9.056;94.5;0.0811;20.9;0.4977;-88.2
BFP760_w_noise_VCE_4.0V_IC_8.0mA.s2p;0.6761;-142.3;9.965;90.9;0.0709;20.8;0.439;-97.2
